fecha_referencia,anio,bimestre,consumo_total_mixto,consumo_prom_dom,consumo_total_dom,consumo_prom_mixto,consumo_total,consumo_prom,consumo_prom_no_dom,consumo_total_no_dom,indice_des,colonia,alcaldia,latitud,longitud
2019-06-30,2019,3,53.69,46.969,1409.07,26.845,1462.76,44.3260606061,0,0,BAJO,ARENAL,AZCAPOTZALCO,19.4647576537,-99.1516788113
2019-06-30,2019,3,0,25.64,128.2,0,183.21,18.321,11.002,55.01,BAJO,ARENAL,AZCAPOTZALCO,19.4656078619,-99.1524972056
2019-06-30,2019,3,0,0,0,0,256.2,85.4,85.4,256.2,MEDIO,DEL GAS,AZCAPOTZALCO,19.4703192444,-99.1577855834
2019-06-30,2019,3,43.6,14.0146371348,14869.53,21.8,16152.17,15.039264432,112.64,1239.04,BAJO,DEL GAS,AZCAPOTZALCO,19.4704177466,-99.1611033214
2019-06-30,2019,3,16.8,58.492,292.46,16.8,316.8,45.2571428571,7.54,7.54,BAJO,COSMOPOLITA (AMPL),AZCAPOTZALCO,19.4722601331,-99.1625994582
2019-06-30,2019,3,223.91,60.8690909091,669.56,44.782,914.83,48.1489473684,7.12,21.36,BAJO,COSMOPOLITA,AZCAPOTZALCO,19.4734224217,-99.1617581161
2019-06-30,2019,3,81.13,29.9114285714,209.38,81.13,625.51,62.551,167.5,335,BAJO,POTRERO DEL LLANO,AZCAPOTZALCO,19.4744371327,-99.1614441254
2019-06-30,2019,3,0,0,0,0,0,0,0,0,MEDIO,COSMOPOLITA,AZCAPOTZALCO,19.4751003633,-99.162409259
2019-06-30,2019,3,0,0,0,0,0,0,0,0,MEDIO,COSMOPOLITA,AZCAPOTZALCO,19.4751003633,-99.162409259
2019-06-30,2019,3,92.06,36.8417647059,626.31,46.03,718.37,35.9185,0,0,BAJO,COSMOPOLITA,AZCAPOTZALCO,19.4754882514,-99.1643067414
2019-06-30,2019,3,0,38.0084615385,494.11,0,494.11,35.2935714286,0,0,BAJO,EUZKADI,AZCAPOTZALCO,19.4770974588,-99.1640140038
2019-06-30,2019,3,587.87,38.7223809524,813.17,53.4427272727,1402.62,41.2535294118,0.79,1.58,BAJO,EUZKADI,AZCAPOTZALCO,19.4770615638,-99.1632959986
2019-06-30,2019,3,198.43,53.9596296296,1456.91,66.1433333333,1668.15,53.8112903226,12.81,12.81,BAJO,EUZKADI,AZCAPOTZALCO,19.4763159522,-99.1606989843
2019-06-30,2019,3,0,54.289,542.89,0,558.94,46.5783333333,8.025,16.05,BAJO,ARENAL,AZCAPOTZALCO,19.46580608,-99.1538484599
2019-06-30,2019,3,0,0,0,0,277.55,138.775,138.775,277.55,POPULAR,EUZKADI,AZCAPOTZALCO,19.4769029768,-99.1599802755
2019-06-30,2019,3,247,68.4845,1369.69,41.1666666667,1816.77,67.2877777778,200.08,200.08,BAJO,EUZKADI,AZCAPOTZALCO,19.4786912528,-99.1588329428
2019-06-30,2019,3,0,20.0459249564,22972.63,0,23430.72,20.2337823834,38.1741666667,458.09,POPULAR,DEL GAS (AMPL),AZCAPOTZALCO,19.4650414537,-99.1552668876
2019-06-30,2019,3,0,0,0,0,12562.73,697.929444444,697.929444444,12562.73,ALTO,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4817933928,-99.1600642758
2019-06-30,2019,3,6.1,0,0,6.1,5128.16,320.51,341.470666667,5122.06,BAJO,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4856193569,-99.1588412348
2019-06-30,2019,3,6.1,0,0,6.1,5128.16,320.51,341.470666667,5122.06,BAJO,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4856193569,-99.1588412348
2019-06-30,2019,3,0,0,0,0,903.94,451.97,451.97,903.94,POPULAR,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4856193569,-99.1588412348
2019-06-30,2019,3,0,0,0,0,5917.88,155.733684211,155.733684211,5917.88,BAJO,COLTONGO,AZCAPOTZALCO,19.4832763953,-99.1517008564
2019-06-30,2019,3,0,0,0,0,5917.88,155.733684211,155.733684211,5917.88,BAJO,COLTONGO,AZCAPOTZALCO,19.4832763953,-99.1517008564
2019-06-30,2019,3,379.41,56.74,56.74,126.47,612.89,55.7172727273,25.2485714286,176.74,POPULAR,SAN ANDRES DE LAS SALINAS (PBLO),AZCAPOTZALCO,19.4897337718,-99.1556581424
2019-06-30,2019,3,177,33.7025,134.81,44.25,425.26,23.6255555556,11.345,113.45,BAJO,LA PRECIOSA,AZCAPOTZALCO,19.4869830658,-99.1921005939
2019-06-30,2019,3,335.56,81.915,163.83,167.78,656.91,93.8442857143,52.5066666667,157.52,BAJO,LAS SALINAS,AZCAPOTZALCO,19.4894710998,-99.1660073674
2019-06-30,2019,3,0,0,0,0,346.62,173.31,173.31,346.62,ALTO,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4938483456,-99.1678919032
2019-06-30,2019,3,183.43,41.8281818182,460.11,61.1433333333,658.79,43.9193333333,15.25,15.25,BAJO,LIBERACION,AZCAPOTZALCO,19.4690240275,-99.1529406547
2019-06-30,2019,3,97.2,52.9283333333,952.71,48.6,1636.94,60.6274074074,83.8614285714,587.03,BAJO,SAN ANDRES DE LAS SALINAS (PBLO),AZCAPOTZALCO,19.4901497502,-99.1535963394
2019-06-30,2019,3,0,0,0,0,3672.33,91.80825,91.80825,3672.33,POPULAR,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.4942734064,-99.1567518566
2019-06-30,2019,3,575.47,59.6764285714,1670.94,63.9411111111,2256.17,59.3728947368,9.76,9.76,BAJO,FERRERIA,AZCAPOTZALCO,19.5058814937,-99.175976568
2019-06-30,2019,3,0,0,0,0,620.98,88.7114285714,88.7114285714,620.98,POPULAR,DEL GAS (AMPL),AZCAPOTZALCO,19.4674919341,-99.1560539588
2019-06-30,2019,3,416.53,56.725,453.8,83.306,1910.72,68.24,69.3593333333,1040.39,POPULAR,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,19.505925934,-99.1720258282
2019-06-30,2019,3,37.2,44.835,89.67,37.2,3006.29,143.156666667,159.967777778,2879.42,BAJO,SAN FRANCISCO XOCOTITLA,AZCAPOTZALCO,19.4682393946,-99.1447718018
2019-06-30,2019,3,0,26.3216666667,157.93,0,208.6,18.9636363636,10.134,50.67,BAJO,LAS SALINAS,AZCAPOTZALCO,19.4889586931,-99.1662531139
2019-06-30,2019,3,0,31.2411363636,1374.61,0,2305.42,40.4459649123,71.6007692308,930.81,BAJO,COLTONGO,AZCAPOTZALCO,19.4809925064,-99.1554454528
2019-06-30,2019,3,0,0,0,0,0,0,0,0,BAJO,COLTONGO,AZCAPOTZALCO,19.481762757,-99.1529657357
2019-06-30,2019,3,0,9.465,473.25,0,560.48,10.9898039216,87.23,87.23,ALTO,DEL GAS,AZCAPOTZALCO,19.4687997214,-99.1556726368
2019-06-30,2019,3,290.25,14.1019230769,1833.25,58.05,2125.68,15.63,2.18,2.18,BAJO,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.4989999012,-99.1903982316
2019-06-30,2019,3,0,24.2179242637,51802.14,0,52214.53,21.7923747913,1.60463035019,412.39,POPULAR,XOCHINAHUAC (U HAB),AZCAPOTZALCO,19.5073415206,-99.1947058674
2019-06-30,2019,3,0,0,0,0,573.4,573.4,573.4,573.4,POPULAR,EL ROSARIO C (U HAB),AZCAPOTZALCO,19.5105734287,-99.1993493007
2019-06-30,2019,3,0,0,0,0,18.3,18.3,18.3,18.3,POPULAR,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.498729098,-99.1920659412
2019-06-30,2019,3,232.34,17.2281578947,654.67,58.085,896.84,18.6841666667,1.63833333333,9.83,MEDIO,SAN MATEO (BARR),COYOACAN,19.3501842971,-99.1463196389
2019-06-30,2019,3,379.22,54.1342857143,1515.76,54.1742857143,1949.6,47.5512195122,9.10333333333,54.62,BAJO,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.5003346672,-99.1942253396
2019-06-30,2019,3,379.22,54.1342857143,1515.76,54.1742857143,1949.6,47.5512195122,9.10333333333,54.62,BAJO,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.5003346672,-99.1942253396
2019-06-30,2019,3,89.91,32.1327272727,2474.22,29.97,3710.77,42.6525287356,163.805714286,1146.64,BAJO,SANTA INES,AZCAPOTZALCO,19.4952681485,-99.1908050994
2019-06-30,2019,3,680.78,35.4945714286,2484.62,136.156,3203.94,41.6096103896,19.27,38.54,POPULAR,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.5003346672,-99.1942253396
2019-06-30,2019,3,681.01,27.5507843137,1405.09,97.2871428571,2091.35,34.8558333333,2.625,5.25,BAJO,SANTA APOLONIA (BARR),AZCAPOTZALCO,19.4763276308,-99.1911342466
2019-06-30,2019,3,680.78,35.4945714286,2484.62,136.156,3203.94,41.6096103896,19.27,38.54,POPULAR,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.5003346672,-99.1942253396
2019-06-30,2019,3,0,19.4935294118,2319.73,0,11167.39,79.2013475177,402.166363636,8847.66,POPULAR,SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,19.5029420649,-99.1938365052
2019-06-30,2019,3,0,0,0,0,2284.33,2284.33,2284.33,2284.33,POPULAR,FRANCISCO VILLA (U HAB),AZCAPOTZALCO,19.4997974538,-99.2044588739
2019-06-30,2019,3,0,32.85,295.65,0,328.39,29.8536363636,16.37,32.74,BAJO,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4954597843,-99.2075157431
2019-06-30,2019,3,279.91,20.1226436782,1750.67,46.6516666667,2107.38,21.7255670103,19.2,76.8,MEDIO,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4954597843,-99.2075157431
2019-06-30,2019,3,122.84,24.5811764706,417.88,61.42,564.12,25.6418181818,7.8,23.4,MEDIO,PETROLERA,AZCAPOTZALCO,19.485919213,-99.2005695342
2019-06-30,2019,3,0,13.7696610169,1624.82,0,1665.89,13.8824166667,20.535,41.07,POPULAR,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4954597843,-99.2075157431
2019-06-30,2019,3,0,13.7696610169,1624.82,0,1665.89,13.8824166667,20.535,41.07,POPULAR,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4954597843,-99.2075157431
2019-06-30,2019,3,459.67,42.6488888889,1151.52,51.0744444444,1661.59,40.5265853659,10.08,50.4,BAJO,SANTO DOMINGO (PBLO),AZCAPOTZALCO,19.4847355771,-99.190208092
2019-06-30,2019,3,57.95,56.7375,453.9,57.95,1016.71,78.2084615385,126.215,504.86,BAJO,SANTO DOMINGO (PBLO),AZCAPOTZALCO,19.4886370471,-99.191093519
2019-06-30,2019,3,201.86,65.27,65.27,50.465,437.11,39.7372727273,28.33,169.98,BAJO,SANTO DOMINGO (PBLO),AZCAPOTZALCO,19.4886785115,-99.1921566831
2019-06-30,2019,3,371.7,18.0320567376,2542.52,41.3,3000.11,18.6342236025,7.80818181818,85.89,BAJO,LA PRECIOSA,AZCAPOTZALCO,19.4855666803,-99.1925096755
2019-06-30,2019,3,23.44,0,0,23.44,52.42,26.21,28.98,28.98,BAJO,SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,19.4786542277,-99.2116251739
2019-06-30,2019,3,0,0,0,0,28.98,28.98,28.98,28.98,POPULAR,SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,19.4786542277,-99.2116251739
2019-06-30,2019,3,285.64,29.0069105691,3567.85,71.41,3870.81,29.5481679389,4.33,17.32,POPULAR,LA PRECIOSA,AZCAPOTZALCO,19.4859415679,-99.1943399762
